# of adv guards,adv guard bw,# of adv exits,adv exit bw,# of nodes,# of paths,# of trees,% bandwidth of adversary exit nodes among other exit nodes,% bandwidth of adversary entry nodes among other entry nodes,% bandwidth of adversary nodes among all nodes,% of paths with an adversary exit node,% of paths with an adversary entry node,% of paths with both aversary exit and entry node,% of paths with both aversary exit midle and entry node,% of trees with an adversary exit node,% of trees with an adversary entry node,% of trees with an adversary entry and exit node,% of trees with an adversary entry middle and exit node,average number of adversary middle nodes,average number of adversary exit nodes,
200,10000,301,15000,7246,100,100,13.64881658411929,2.3212210894959906,6.380209711764258,14.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,7,67,
200,10000,302,15000,7247,100,100,13.687954699577949,2.3212210894959906,6.393960122310093,19.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,7,72,
200,10000,303,15000,7248,100,100,13.727057352914127,2.3212210894959906,6.407706494264867,21.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,6,86,
200,10000,304,15000,7249,100,100,13.766124592303088,2.3212210894959906,6.421448829407566,20.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,8,71,
200,10000,305,15000,7250,100,100,13.805156465832871,2.3212210894959906,6.435187129516122,18.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,10,70,
200,10000,306,15000,7251,100,100,13.844153021504495,2.3212210894959906,6.4489213963674334,21.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,5,81,
200,10000,307,15000,7252,100,100,13.883114307232145,2.3212210894959906,6.462651631737347,16.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,15,79,
200,10000,308,15000,7253,100,100,13.922040370843378,2.3212210894959906,6.4763778374006735,15.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,103,50,
200,10000,309,15000,7254,100,100,13.960931260079319,2.3212210894959906,6.490100015131176,20.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,7,63,
200,10000,310,15000,7255,100,100,13.999787022594843,2.3212210894959906,6.503818166701584,14.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,7,67,
200,10000,311,15000,7256,100,100,14.038607705958789,2.3212210894959906,6.517532293883579,17.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,7,77,
200,10000,312,15000,7257,100,100,14.077393357654136,2.3212210894959906,6.531242398447809,10.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,11,70,
200,10000,313,15000,7258,100,100,14.11614402507821,2.3212210894959906,6.544948482163881,22.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,5,79,
200,10000,314,15000,7259,100,100,14.154859755542867,2.3212210894959906,6.558650546800365,19.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,7,70,
200,10000,315,15000,7260,100,100,14.193540596274696,2.3212210894959906,6.572348594124794,18.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,8,71,
200,10000,316,15000,7261,100,100,14.2321865944152,2.3212210894959906,6.586042625903662,23.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,6,77,
200,10000,317,15000,7262,100,100,14.270797797020995,2.3212210894959906,6.599732643902432,26.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,12,61,
200,10000,318,15000,7263,100,100,14.309374251064002,2.3212210894959906,6.613418649885529,21.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,5,78,
200,10000,319,15000,7264,100,100,14.347916003431626,2.3212210894959906,6.627100645616345,14.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,9,82,
200,10000,320,15000,7265,100,100,14.386423100926962,2.3212210894959906,6.640778632857239,14.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,6,76,
200,10000,321,15000,7266,100,100,14.424895590268974,2.3212210894959906,6.6544526133695365,24.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,7,70,
200,10000,322,15000,7267,100,100,14.463333518092687,2.3212210894959906,6.6681225889135325,19.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,8,75,
200,10000,323,15000,7268,100,100,14.501736930949374,2.3212210894959906,6.68178856124849,18.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,9,98,
200,10000,324,15000,7269,100,100,14.540105875306745,2.3212210894959906,6.695450532132643,23.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,104,86,
200,10000,325,15000,7270,100,100,14.578440397549135,2.3212210894959906,6.709108503323194,20.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,7,65,
200,10000,326,15000,7271,100,100,14.616740543977691,2.3212210894959906,6.72276247657632,20.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,6,67,
200,10000,327,15000,7272,100,100,14.655006360810559,2.3212210894959906,6.736412453647166,21.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,8,71,
